"Id";"Nome";"Tipo";"Unidade";"Mín";"Máx";"Padrão";"Dígitos dec.";"Valor";"Somente Leitura";"Comparação";"Descrição"
"P0137";"PAR_0137";"WORD";"%";"0.0";"30.0";"0.0";"1";"0.0";"";"";"Boost de Torque Autom"
"P0138";"PAR_0138";"WORD";"%";"-10.0";"10.0";"0.0";"1";"0.0";"";"";"Compensação Escorreg."
"P0139";"PAR_0139";"WORD";"ms";"0";"9999";"50";"0";"50";"";"";"Filtro Corrente Saída"
"P0140";"PAR_0140";"WORD";"ms";"0";"9999";"500";"0";"500";"";"";"Filtro Com. Escorreg."
"P0142";"PAR_0142";"WORD";"%";"0.0";"100.0";"100.0";"1";"100.0";"";"";"Tensão Saída Máxima"
"P0143";"PAR_0143";"WORD";"%";"0.0";"100.0";"66.7";"1";"66.7";"";"";"Tensão Saída Intermed"
"P0144";"PAR_0144";"WORD";"%";"0.0";"100.0";"33.3";"1";"33.3";"";"";"Tensão Saída baixa"
"P0145";"PAR_0145";"WORD";"Hz";"0.0";"500.0";"60.0";"1";"60.0";"";"";"Vel. Início Enf.Campo"
"P0146";"PAR_0146";"WORD";"Hz";"0.0";"500.0";"40.0";"1";"40.0";"";"";"Vel. Saída Intermed."
"P0147";"PAR_0147";"WORD";"Hz";"0.0";"500.0";"20.0";"1";"20.0";"";"";"Vel. Saída Baixa"
"P0150";"PAR_0150";"WORD";"";"0: hold_Ud e desac_LC";"3: acel_Ud e hold_LC";"0: hold_Ud e desac_LC";"0";"0: hold_Ud e desac_LC";"";"";"Tipo Regul. Ud V/f"
"P0151";"PAR_0151";"WORD";"V";"340";"1200";"800";"0";"400";"";"X";"Nível Regul. Ud V/f"
"P0152";"PAR_0152";"WORD";"";"0.00";"9.99";"1.50";"2";"1.50";"";"";"Ganho Prop. Regul. Ud V/f"
"P0153";"PAR_0153";"WORD";"V";"340";"1200";"748";"0";"375";"";"X";"Nível Frenagem Reost."
"P0156";"PAR_0156";"WORD";"A";"0.0";"200.0";"4.6";"1";"4.7";"";"X";"Corr. Sobrecarga 100%"
"P0157";"PAR_0157";"WORD";"A";"0.0";"200.0";"3.7";"1";"4.3";"";"X";"Corr. Sobrecarga 50%"
"P0158";"PAR_0158";"WORD";"A";"0.0";"200.0";"2.1";"1";"3.4";"";"X";"Corr. Sobrecarga 5%"
"P0161";"PAR_0161";"WORD";"";"0.0";"63.9";"7.0";"1";"6.0";"";"X";"Ganho Prop. Veloc."
"P0162";"PAR_0162";"WORD";"";"0.000";"9.999";"0.005";"3";"0.000";"";"X";"Ganho Integral Veloc."
"P0165";"PAR_0165";"WORD";"s";"0.012";"1.000";"0.012";"3";"0.012";"";"";"Filtro de Velocidade"
"P0166";"PAR_0166";"WORD";"";"0.00";"7.99";"0.00";"2";"0.00";"";"";"Ganho Difer. Veloc."
"P0167";"PAR_0167";"WORD";"";"0.00";"1.99";"0.50";"2";"0.00";"";"X";"Ganho Prop. Corrente"
"P0168";"PAR_0168";"WORD";"";"0.000";"1.999";"0.010";"3";"0.010";"";"";"Ganho Integ. Corrente"
"P0169";"PAR_0169";"WORD";"%";"0.0";"350.0";"125.0";"1";"125.0";"";"";"Máx.Corrente Torque +"
"P0170";"PAR_0170";"WORD";"%";"0.0";"350.0";"125.0";"1";"125.0";"";"";"Máx.Corrente Torque -"
"P0175";"PAR_0175";"WORD";"";"0.0";"31.9";"2.0";"1";"2.0";"";"";"Ganho Propor. Fluxo"
"P0176";"PAR_0176";"WORD";"";"0.000";"9.999";"0.020";"3";"0.020";"";"";"Ganho Integral Fluxo"
"P0178";"PAR_0178";"WORD";"%";"0.0";"150.0";"100.0";"1";"100.0";"";"";"Fluxo Nominal"
"P0181";"PAR_0181";"WORD";"";"0: Habilita Geral";"1: Gira/Pára";"0: Habilita Geral";"0";"0: Habilita Geral";"";"";"Modo de Magnetização"
"P0182";"PAR_0182";"WORD";"rpm";"0";"180";"30";"0";"30";"";"";"Veloc. p/ Atuação I/F"
"P0183";"PAR_0183";"WORD";"%";"15.0";"300.0";"120.0";"1";"120.0";"";"";"Corrente no Modo I/F"
"P0184";"PAR_0184";"WORD";"";"0: Com perdas";"2: Hab./Desab.DIx";"1: Sem perdas";"0";"1: Sem perdas";"";"";"Modo Regulação Ud"
"P0185";"PAR_0185";"WORD";"V";"585";"800";"800";"0";"400";"";"X";"Nível Regulação Ud"
"P0186";"PAR_0186";"WORD";"";"0.0";"63.9";"18.0";"1";"18.0";"";"";"Ganho Proporcional Ud"
"P0187";"PAR_0187";"WORD";"";"0.000";"9.999";"0.002";"3";"0.002";"";"";"Ganho Integral Ud"
"P0188";"PAR_0188";"WORD";"";"0.000";"7.999";"0.200";"3";"0.200";"";"";"Ganho Prop. V. Saída"
"P0189";"PAR_0189";"WORD";"";"0.000";"7.999";"0.001";"3";"0.001";"";"";"Ganho Integ. V. Saída"
"P0190";"PAR_0190";"WORD";"V";"0";"600";"436";"0";"220";"";"X";"Tensão Saída Máxima"
"P0200";"PAR_0200";"WORD";"";"0: Inativa";"9999: Nova senha";"0: Inativa";"0";"0: Inativa";"";"";"Senha"
"P0202";"PAR_0202";"WORD";"";"0: V/F";"8: VVW PM";"0: V/F";"0";"0: V/F";"";"";"Tipo de Controle"
"P0203";"PAR_0203";"WORD";"";"0: Nenhuma";"3: PID via FI";"0: Nenhuma";"0";"1: PID via AI1";"";"X";"Sel. Função Especial"
"P0204";"PAR_0204";"WORD";"";"0: Sem Função";"15: Reservado";"0: Sem Função";"0";"0: Sem Função";"";"";"Carrega/Salva Parâm."
"P0205";"PAR_0205";"WORD";"";"0";"1500";"2";"0";"2";"";"";"Parâmetro Display Princ."
"P0206";"PAR_0206";"WORD";"";"0";"1500";"1";"0";"1";"";"";"Parâmetro Display Auxiliar"
"P0207";"PAR_0207";"WORD";"";"0";"1500";"3";"0";"3";"";"";"Parâmetro para Barra"
"P0208";"PAR_0208";"WORD";"";"1";"65535";"600";"0";"600";"";"";"Escala da Referencia"
"P0209";"PAR_0209";"WORD";"";"0: Sem unidade";"19: H";"13: Hz";"0";"13: Hz";"";"";"Unidade Eng. Ref."
"P0210";"PAR_0210";"WORD";"";"0: wxyz";"3: w.xyz";"1: wxy.z";"0";"1: wxy.z";"";"";"Forma Indicação Ref."
